JobId,Client,FtpHost,FtpUserId,FtpPassword,JobType,BackupLocation,DoBackup,LocalFileDirectory,FtpDirectory,FileName,FileExtension,DeleteFileWhenDone,FilePrefix,FileSuffix,TimestampBackupFile,MergeToFile,RenameFileInDestinationTo,TimestampDestinationFile,SendErrorEmailTo
1,Traffic Tech,ftp://127.0.0.1,Amit,YndeecHWTE17+ut/e8xaGU++6qybOZ4vLF7LcYnBTBk=,0,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Backup,Yes,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\In,,,*1282-CHS,Yes,,,No,,REGA_in_,Yes,suraj@nightstarpartners.com
2,Traffic Tech,ftp://127.0.0.1,Amit,YndeecHWTE17+ut/e8xaGU++6qybOZ4vLF7LcYnBTBk=,0,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Backup,Yes,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Out,,,test*.dat,Yes,,,Yes,,,No,
3,Traffic Tech,ftp://127.0.0.1,Amit,YndeecHWTE17+ut/e8xaGU++6qybOZ4vLF7LcYnBTBk=,0,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Backup,Yes,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Out,,,*282-SEA,Yes,,,Yes,,REGAE_in_.xml,Yes,
4,Traffic Tech,ftp://127.0.0.1,Amit,YndeecHWTE17+ut/e8xaGU++6qybOZ4vLF7LcYnBTBk=,0,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Backup,Yes,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Out,,,*1282-CHS,Yes,,,Yes,,REGAE_in_.xml,Yes,
5,Traffic Tech,ftp://127.0.0.1,Amit,YndeecHWTE17+ut/e8xaGU++6qybOZ4vLF7LcYnBTBk=,0,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Backup,Yes,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\In,,,*282-SEA,Yes,,,Yes,,REGAE_in_.xml,Yes,
6,Traffic Tech,ftp://127.0.0.1,Amit,YndeecHWTE17+ut/e8xaGU++6qybOZ4vLF7LcYnBTBk=,0,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Backup,Yes,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\In,,,*1282-CHS,Yes,,,Yes,,REGAE_in_.xml,Yes,
7,Traffic Tech,ftp://127.0.0.1,Amit,YndeecHWTE17+ut/e8xaGU++6qybOZ4vLF7LcYnBTBk=,0,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Backup,Yes,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\In,,test123.dat,,Yes,Down_,_Load,Yes,,,Yes,
8,Traffic Tech,ftp://127.0.0.1,Amit,YndeecHWTE17+ut/e8xaGU++6qybOZ4vLF7LcYnBTBk=,1,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Backup,Yes,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Out,,test123.dat,,Yes,Pref_,_Suff,Yes,,,Yes,
9,Traffic Tech,ftp://127.0.0.1,Amit,YndeecHWTE17+ut/e8xaGU++6qybOZ4vLF7LcYnBTBk=,0,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Backup,Yes,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\In,,test123.dat,,Yes,Down_,_Load,Yes,,Ren_in.xml,Yes,
10,Traffic Tech,ftp://127.0.0.1,Amit,YndeecHWTE17+ut/e8xaGU++6qybOZ4vLF7LcYnBTBk=,0,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Backup,Yes,D:\NSC\Misc\Victor\FTPUpload\2.6.2020\TestFolder\Out,,test123.dat,,Yes,Pref_,_Suff,Yes,,Ren_Out.xml,Yes,
